model_name,dataset_name,vector_name,hyperparameter_name,hyperparameter_value,metric_name,metric_value
svc,dev,tfidf,c,0.5,true_negatives,753.0
svc,dev,tfidf,c,0.5,false_negatives,80.0
svc,dev,tfidf,c,0.5,accuracy,0.8966259870782484
svc,dev,tfidf,c,0.5,macro_recall,0.8913878688970489
svc,dev,tfidf,c,0.5,macro_precision,0.8948379351740696
svc,dev,tfidf,c,0.5,macro_f1,0.8929833546734955
svc,dev,tfidf,c,0.5,micro_recall,0.8966259870782484
svc,dev,tfidf,c,0.5,micro_precision,0.8966259870782484
svc,dev,tfidf,c,0.5,micro_f1,0.8966259870782484
svc,dev,tfidf,c,0.5,binary_recall,0.8611111111111112
svc,dev,tfidf,c,0.5,binary_precision,0.8857142857142857
svc,dev,tfidf,c,0.5,binary_f1,0.8732394366197184
svc,train,tfidf,c,4,true_positives,2685.0
svc,train,tfidf,c,4,false_positives,3.0
svc,train,tfidf,c,4,true_negatives,3809.0
svc,train,tfidf,c,4,false_negatives,0.0
svc,train,tfidf,c,4,accuracy,0.9995382484223488
svc,train,tfidf,c,4,macro_recall,0.9996065057712488
svc,train,tfidf,c,4,macro_precision,0.9994419642857144
svc,train,tfidf,c,4,macro_f1,0.9995240017902868
svc,train,tfidf,c,4,micro_recall,0.9995382484223488
svc,train,tfidf,c,4,micro_precision,0.9995382484223488
svc,train,tfidf,c,4,micro_f1,0.9995382484223488
svc,train,tfidf,c,4,binary_recall,1.0
svc,train,tfidf,c,4,binary_precision,0.9988839285714286
svc,train,tfidf,c,4,binary_f1,0.9994416527079844
mlp,dev,tfidf,alpha,0.01,true_positives,498.0
mlp,dev,tfidf,alpha,0.01,false_positives,71.0
mlp,dev,tfidf,alpha,0.01,true_negatives,746.0
mlp,dev,tfidf,alpha,0.01,false_negatives,78.0
mlp,dev,tfidf,alpha,0.01,accuracy,0.8930366116295765
mlp,dev,tfidf,alpha,0.01,macro_recall,0.8888400142798858
mlp,dev,tfidf,alpha,0.01,macro_precision,0.8902797447403894
mlp,dev,tfidf,alpha,0.01,macro_f1,0.8895353509549242
mlp,dev,tfidf,alpha,0.01,micro_recall,0.8930366116295765
mlp,dev,tfidf,alpha,0.01,micro_precision,0.8930366116295765
mlp,dev,tfidf,alpha,0.01,micro_f1,0.8930366116295765
mlp,dev,tfidf,alpha,0.01,binary_recall,0.8645833333333334
mlp,dev,tfidf,alpha,0.01,binary_precision,0.875219683655536
mlp,dev,tfidf,alpha,0.01,binary_f1,0.8698689956331879
svc,dev,tfidf,c,0.1,true_positives,478.0
svc,dev,tfidf,c,0.1,false_positives,64.0
svc,dev,tfidf,c,0.1,true_negatives,753.0
svc,dev,tfidf,c,0.1,false_negatives,98.0
svc,dev,tfidf,c,0.1,accuracy,0.8837042354630295
svc,dev,tfidf,c,0.1,macro_recall,0.8757628688970489
svc,dev,tfidf,c,0.1,macro_precision,0.8833800911452123
svc,dev,tfidf,c,0.1,macro_f1,0.8789880439119189
svc,dev,tfidf,c,0.1,micro_recall,0.8837042354630295
svc,dev,tfidf,c,0.1,micro_precision,0.8837042354630295
svc,dev,tfidf,c,0.1,micro_f1,0.8837042354630295
